
一手房今日成交,2018-03-15 13:58
区县,住宅套数,住宅面积（㎡）,总成交套数,总成交面积（㎡）
全市,376,45535.24,435,50548.29
市南区,2,945.54,2,945.54
市北区（原）,9,850.36,10,1008.64
四方区（原）,12,1470.17,16,1697.92
李沧区,22,3009.74,23,3071.87
崂山区,2,238.20,2,238.20
黄岛区,74,9123.46,97,11907.46
胶南市（原）,0,0.00,0,0.00
城阳区,44,5115.93,60,6332.27
高新区,19,2312.84,20,2369.52
即墨市,62,8334.74,64,8449.57
胶州市,53,6217.08,61,6522.48
莱西市,53,5332.24,56,5419.88
平度市,24,2584.94,24,2584.94
前湾保税港区,0,0.00,0,0.00

二手房今日成交,2018-03-15 13:58
区县,住宅套数,住宅面积（㎡）,总成交套数,总成交面积（㎡）
全市,318,27003.55,331,27671.88
市南区,26,2042.12,26,2042.12
市北区（原）,41,2875.63,42,2941.92
四方区（原）,34,2250.40,36,2326.04
李沧区,52,4162.68,52,4162.68
崂山区,13,1499.23,13,1499.23
黄岛区,64,5394.56,71,5741.67
胶南市（原）,0,0.00,0,0.00
城阳区,42,4421.31,44,4557.80
高新区,0,0.00,0,0.00
即墨市,13,1091.00,14,1133.80
胶州市,10,865.53,10,865.53
莱西市,20,2033.91,20,2033.91
平度市,3,367.18,3,367.18
前湾保税港区,0,0.00,0,0.00
